dog_name,gender,n
Secret,F,6
Sexy,F,6
Shaina,F,6
Shyla,F,6
Snooki,F,6
Sparkles,F,6
Sue,F,6
Suzi,F,6
Terry,F,6
Tuesday,F,6
Twinkie,F,6
Veronica,F,6
Vita,F,6
Wrigley,F,6
Yoyo,F,6
Zoie,F,6
Aaliyah,F,5
Agatha,F,5
Alfie,F,5
ALLEGRA,F,5
Annabella,F,5
Anni,F,5
Ashlee,F,5
Avalon,F,5
Beverly,F,5
Birdie,F,5
Blaze,F,5
Boobie,F,5
Bosco,F,5
Bree,F,5
Bronte,F,5
Brook-Lynn,F,5
BROOKE,F,5
Buddy,F,5
Cecilia,F,5
Chewbacca,F,5
CJ,F,5
COCOCHANEL,F,5
Cola,F,5
Cooper,F,5
Corky,F,5
Courtney,F,5
Dagny,F,5
Dalila,F,5
Darby,F,5
Dash,F,5
DeeDee,F,5
Demi,F,5
Deva,F,5
Diana,F,5
Dinah,F,5
Donatella,F,5
Donna,F,5
Dory,F,5
Dot,F,5
Duffy,F,5
Echo,F,5
Egypt,F,5
Elly,F,5
Estrella,F,5
Fannie,F,5
Fanny,F,5
Foxi,F,5
Foxie,F,5
Fudge,F,5
Giselle,F,5
Halley,F,5
Hallie,F,5
Henny,F,5
Henrietta,F,5
Jacqueline,F,5
Janet,F,5
Janie,F,5
Jennifer,F,5
Jett,F,5
Jingles,F,5
KACEY,F,5
Kara,F,5
Kathy,F,5
Kaycee,F,5
Kenya,F,5
Kia,F,5
Kimchi,F,5
Kimi,F,5
Koda,F,5
Krissy,F,5
Kylee,F,5
Latte,F,5
Leyla,F,5
Lia,F,5
Liesl,F,5
Lori,F,5
Lou,F,5
Love,F,5
Lucero,F,5
Luka,F,5
Madeleine,F,5
Mango,F,5
Margo,F,5
Marilyn,F,5
Marshmallow,F,5
Marta,F,5
Martini,F,5
MeiMei,F,5
Michaela,F,5
Miko,F,5
Mimzy,F,5
Mira,F,5
Miracle,F,5
Montana,F,5
Moon,F,5
Mui,F,5
Negrita,F,5
Nica,F,5
Noodle,F,5
Nunu,F,5
Oona,F,5
Pia,F,5
Pip,F,5
Pippin,F,5
Poochie,F,5
Pretty,F,5
Puffy,F,5
Puma,F,5
Quinn,F,5
Raisin,F,5
Rebecca,F,5
Red,F,5
Reggie,F,5
Rocky,F,5
Roo,F,5
Rory,F,5
Rosalita,F,5
Ruthie,F,5
Sailor,F,5
Salsa,F,5
Sandee,F,5
Sandie,F,5
Sashi,F,5
Savanna,F,5
Schatzie,F,5
Selena,F,5
Shanti,F,5
Shayla,F,5
Shiba,F,5
Sidney,F,5
Siena,F,5
Silver,F,5
Skittles,F,5
Snoop,F,5
Sofi,F,5
Spice,F,5
Susi,F,5
Taina,F,5
Teddi,F,5
Terror,F,5
Thelma,F,5
Tinka,F,5
Tita,F,5
Trixy,F,5
Trudy,F,5
Twiggy,F,5
Waffles,F,5
Wanda,F,5
Wilma,F,5
Zara,F,5
Zora,F,5
Aggie,F,4
Alexa,F,4
Althea,F,4
Amelia,F,4
Anabelle,F,4
Angela,F,4
Angelica,F,4
Annabel,F,4
Arrow,F,4
Asha,F,4
Ashanti,F,4
Basil,F,4
Baylee,F,4
Beckett,F,4
Bell,F,4
Bertha,F,4
Bess,F,4
Beth,F,4
Bettie,F,4
Big,F,4
Bijoux,F,4
Bisou,F,4
Black,F,4
Blanche,F,4
Blanquita,F,4
Breezy,F,4
Bri,F,4
Bridie,F,4
Bubble,F,4
Butters,F,4
Butterscotch,F,4
Cagney,F,4
Calypso,F,4
Cami,F,4
Camille,F,4
Carlie,F,4
Cassey,F,4
Ceili,F,4
Cha,F,4
Chaka,F,4
Champagne,F,4
Channel,F,4
Charli,F,4
Charly,F,4
Charo,F,4
Chickie,F,4
Choco,F,4
Chocolat,F,4
Christina,F,4
Chuchi,F,4
Ciara,F,4
Claudia,F,4
Cosmo,F,4
CREAM,F,4
Cubby,F,4
Daria,F,4
Daysi,F,4
DAZY,F,4
Debbie,F,4
Delia,F,4
DESDEMONA,F,4
Dharma,F,4
Dingo,F,4
Dobby,F,4
Donut,F,4
Dylan,F,4
Electra,F,4
EMI,F,4
Erin,F,4
Esme,F,4
Evy,F,4
Fawn,F,4
Felicia,F,4
Fern,F,4
Flower,F,4
Fran,F,4
Frenchie,F,4
Friday,F,4
Frieda,F,4
Gaby,F,4
GENEVIEVE,F,4
George,F,4
Giggles,F,4
Gilda,F,4
Girl,F,4
Gisele,F,4
Goose,F,4
Guinevere,F,4
Gussie,F,4
Hattie,F,4
Heaven,F,4
Ices,F,4
Indy,F,4
J-Lo,F,4
Jasmin,F,4
Jean,F,4
Jennie,F,4
JODY,F,4
Jules,F,4
Juniper,F,4
Kai,F,4
Kaiya,F,4
Kallie,F,4
Kasha,F,4
Kenzie,F,4
Kika,F,4
Kilo,F,4
Kita,F,4
KIZZY,F,4
Kola,F,4
Kookie,F,4
KUKLA,F,4
Laci,F,4
Ladie,F,4
Lani,F,4
Leda,F,4
Lela,F,4
Leona,F,4
Lexa,F,4
Lexis,F,4
Lillian,F,4
Lindsey,F,4
Lolli,F,4
Lollipop,F,4
Loretta,F,4
Lovely,F,4
Lucca,F,4
Lucie,F,4
Lupa,F,4
Lupita,F,4
Mable,F,4
Macey,F,4
Magee,F,4
Maizie,F,4
Mali,F,4
Mamie,F,4
Margot,F,4
Martha,F,4
Masha,F,4
Mathilda,F,4
Maude,F,4
Meghan,F,4
MEKA,F,4
Meli,F,4
Meme,F,4
Mildred,F,4
Ming,F,4
Mink,F,4
Minny,F,4
Misia,F,4
Miso,F,4
MJ,F,4
Moca,F,4
Mocca,F,4
Money,F,4
Morena,F,4
Mugsy,F,4
Nacho,F,4
Nakita,F,4
Nalla,F,4
Nancy,F,4
Naomi,F,4
Natalie,F,4
Nera,F,4
NICOLETTE,F,4
Nugget,F,4
Nya,F,4
Oakley,F,4
Opal,F,4
Otis,F,4
Pancake,F,4
Panchita,F,4
Peekaboo,F,4
Pepa,F,4
Peppa,F,4
Peppi,F,4
PERLITA,F,4
Pie,F,4
Piglet,F,4
Pilot,F,4
Pinina,F,4
Pink,F,4
Pixel,F,4
Pooh,F,4
Popcorn,F,4
Pork,F,4
Posie,F,4
Pucci,F,4
Puggy,F,4
PUNKIN,F,4
Raja,F,4
Rascal,F,4
Roma,F,4
Ruffles,F,4
Rylee,F,4
Sahara,F,4
Sambuca,F,4
Sascha,F,4
Sassie,F,4
Scooby,F,4
Scrappy,F,4
Sedona,F,4
Shakti,F,4
Shamrock,F,4
Shasha,F,4
SHELLY,F,4
Shera,F,4
SINDY,F,4
Sola,F,4
Solo,F,4
Stacy,F,4
Sussy,F,4
Tally,F,4
Talula,F,4
Thalia,F,4
Tigger,F,4
Tillie,F,4
Tinkerbelle,F,4
Toffee,F,4
Toni,F,4
Tonka,F,4
Topaz,F,4
Tyra,F,4
Una,F,4
Velma,F,4
Vida,F,4
Vivian,F,4
Wednesday,F,4
Weezie,F,4
Whiskey,F,4
Whisper,F,4
Wrinkles,F,4
Wynter,F,4
Yaya,F,4
Yum,F,4
ZaZu,F,4
Zeta,F,4
Ada,F,3
Addison,F,3
Adelaide,F,3
Adrian,F,3
Adriana,F,3
Akasha,F,3
Akila,F,3
Alabama,F,3
ALBA,F,3
Alex,F,3
Alisa,F,3
Alize,F,3
Aly,F,3
AMERICA,F,3
Ana,F,3
Anastasia,F,3
Andie,F,3
Andy,F,3
Angelique,F,3
Aphrodite,F,3
Aspen,F,3
Augie,F,3
August,F,3
Ayla,F,3
Aza,F,3
Babie,F,3
Bacardi,F,3
Bacci,F,3
Bailee,F,3
Bali,F,3
Bamboo,F,3
Bamby,F,3
Basha,F,3
BB,F,3
Be,F,3
Beanie,F,3
Beasley,F,3
Bebi,F,3
Becca,F,3
Bellamia,F,3
Bette,F,3
BEYONCE,F,3
Billy,F,3
Bindi,F,3
Binky,F,3
Birdy,F,3
Bleu,F,3
Bo,F,3
Boca,F,3
Breeze,F,3
Bridgette,F,3
Brindle,F,3
Bristol,F,3
Brody,F,3
Bronx,F,3
BUBA,F,3
